sha256,file_identifier,aesthetic_score,captions,rendered,voxelized,num_voxels,cond_rendered,local_path
0006d4c69de70f84754df85c2ec0a34514223f941500f080c84c19da7e137998,3/B07YBH2SR3.glb,5.136597633361816,"[""A simple, white chair with four straight legs, a flat rectangular seat with rounded edges, and a backrest comprising two vertical supports and a horizontal plank joined by visible metallic fasteners."", ""White chair with straight legs, flat seat, and backrest with metallic fasteners."", ""White chair featuring straight legs, flat seat and supported backrest."", ""Chair with straight legs, flat seat, horizontal backrest, metallic connections."", ""Simple white chair with straight legs and structural backrest."", ""White chair with vertical supports and horizontal backrest."", ""Chair with flat seat, backrest featuring metallic fasteners."", ""Chair with straight legs, and supported backrest."", ""White chair with structured backrest."", ""Simple white chair with backrest."", ""White chair.""]",False,False,0,True,raw/3dmodels/original/3/B07YBH2SR3.glb
00128c5f4884f93566f9250fbe2ba439351190d2aa417e64e52b0ae0f2565222,6/B07HSB4WV6.glb,4.7749128341674805,"[""Bar stool with diamond-quilted light beige/white fabric backrest and seat, supported by bronze-colored metal legs connected by horizontal supports."", ""Bar stool with diamond-quilted beige fabric backrest and seat on bronze metal legs."", ""Bar stool with quilted beige fabric and bronze metal legs."", ""Quilted beige fabric bar stool with bronze legs."", ""Beige quilted bar stool on bronze legs."", ""Quilted bar stool with bronze legs."", ""Bar stool with bronze legs."", ""Quilted fabric bar stool."", ""Beige bar stool."", ""Bronze-legged stool."", ""Stool.""]",False,False,0,True,raw/3dmodels/original/6/B07HSB4WV6.glb
002d966114300bd368dcccd10046f5cee660120548dd7ae63710e4a3ff967043,Z/B07K6N3XKZ.glb,4.525978088378906,"[""Rectangular desk in light natural wood with grain texture, flat tabletop, right supporting panel, and left drawer unit with two smooth-front drawers. Base includes small wheels for mobility, no visible handles for drawers. Clean, minimalist design."", ""Rectangular light wooden desk with grain texture, panel support, and two-drawer unit. Small wheels for mobility."", ""Natural wooden desk with grain texture, two drawers, panel support, and wheels."", ""Minimalistic desk in light wood with grain, drawers, and wheels."", ""Natural wooden desk with drawers supported by panels, and wheels."", ""Wooden desk with grain texture, drawers, and wheels."", ""Desk with natural wood, drawers, and wheels."", ""Wooden desk with drawers and mobility."", ""Desk with drawers and wheels."", ""Portable wooden desk."", ""Wooden desk.""]",False,False,0,True,raw/3dmodels/original/Z/B07K6N3XKZ.glb
0037f821028abeef50670d1f7cb60629a10d72f8e4195db7e483d6ab26f685fd,F/B0853JVBVF.glb,5.060037612915039,"[""A contemporary bed with a curved, light gray upholstered headboard; rectangular platform frame with a white pleated fabric skirt; thick, rectangular mattress with plain white bedsheet; and two standard rectangular white pillows near the headboard."", ""A contemporary bed with light gray curved headboard and white pleated fabric skirt."", ""Modern bed with curved gray headboard and white pleated platform frame."", ""Bed with gray upholstered headboard and white pleated skirt."", ""Contemporary bed with gray headboard and white skirt."", ""Bed with curved gray headboard and white base."", ""Bed with gray headboard and white setup."", ""Modern bed with curved gray headboard."", ""Gray headboard bed with white base."", ""Contemporary gray and white bed."", ""Gray headboard, white bed.""]",False,False,0,True,raw/3dmodels/original/F/B0853JVBVF.glb
003b5915cd013fae1e58145efa30174315092bb12baaf717ab8cb207195f2217,3/B07QJXMX23.glb,5.300153732299805,,False,False,0,True,raw/3dmodels/original/3/B07QJXMX23.glb
0063a3bf2f2f0a4f8bf91e9ea759a4be7ca39b22f775b75bfc9d126a81dfe304,8/B07Y3QSCQ8.glb,5.141406059265137,"[""Light green one-piece molded plastic chair with a curved backrest featuring a rectangular cut-out, flat seat, and black metal angled legs."", ""Light green plastic chair with rectangular cut-out and black metal legs."", ""Green one-piece chair with curved backrest and black legs."", ""Chair with green molding, rectangular cut-out, and metal legs."", ""One-piece green chair with black angled legs."", ""Plastic chair with curved backrest and metal legs."", ""Green chair with black metal legs."", ""Chair with a rectangle cut-out backrest."", ""Green chair with black legs."", ""Chair with metal legs."", ""Green Chair.""]",False,False,0,True,raw/3dmodels/original/8/B07Y3QSCQ8.glb
00779dbb16996270a23bc1be2c6ff67717d55c88729dc9a6f677be0cc9193d32,G/B075X4PT3G.glb,5.217343330383301,"[""Dark gray leather armchair with cylindrical padded arms, rectangular backrest, and detachable seat cushion, all featuring visible stitching. Supported by cylindrical, tapered reddish-brown wooden legs."", ""Dark gray leather armchair with padded cylindrical arms, rectangular backrest, detachable seat cushion on brown wooden legs."", ""Gray leather chair with padded arms, backrest, detachable cushion, wooden legs."", ""Leather chair with padded arms, detachable cushion, and wooden support."", ""Dark gray armchair, detachable cushion, wooden legs."", ""Leather armchair, detachable cushion, wood legs."", ""Gray chair, removable cushion, wood support."", ""Armchair with detachable cushion, wooden legs."", ""Gray armchair with cushion and legs."", ""Chair with cushion and legs."", ""Chair with cushion.""]",False,False,0,True,raw/3dmodels/original/G/B075X4PT3G.glb
008c3304bc5f737f4ef4d334e322938d1912be3565bdae833a0fc72b84c301f9,Q/B07B4Z3B7Q.glb,4.800455570220947,"[""A horizontally oriented rectangular bed with a white frame, white mattress, beige headboard with curved edges, white skirting, and two white rectangular pillows near the headboard."", ""Rectangular bed with white frame, mattress, skirting, two pillows, and beige curved-edged headboard."", ""Bed with white frame and mattress, beige headboard, skirting, and two pillows."", ""White rectangular bed with beige curved headboard and two white pillows."", ""White bed frame with beige headboard, white mattress, and pillows."", ""Rectangular bed with beige headboard and white pillows."", ""White bed with beige curved-edged headboard."", ""White bed with beige headboard."", ""White bed and beige headboard."", ""Bed with beige headboard."", ""White bed.""]",False,False,0,True,raw/3dmodels/original/Q/B07B4Z3B7Q.glb
009728c65630beae7a466c4a54df602241be38781b8f03b3a0bb545a849df907,R/B082QC7YKR.glb,5.750837326049805,"[""Modern armchair with deep red velvet-like upholstery, a high semi-circular backrest, plush square seat, integrated sloping armrests, and four outward-angled tapered wooden legs."", ""Modern armchair with red velvet upholstery, high semi-circular backrest, square seat, sloping armrests, and wooden legs."", ""Velvet-upholstered modern armchair with high backrest, square seat, sloping armrests, and wooden legs."", ""Red velvet modern armchair with high backrest, square seat, inclined armrests, wooden legs."", ""Modern armchair with red velvet upholstery, high back, square seat, integrated armrests, wooden legs."", ""Armchair with semi-circular backrest, square velvet seat, wooden legs, sloped armrests."", ""Red velvet armchair with high backrest, square seat, wooden legs."", ""Armchair with velvet upholstery, backrest, square seat, and wooden legs."", ""Velvet armchair with high backrest, armrests, and wooden legs."", ""Red velvet armchair with high back and wooden legs."", ""Armchair, red velvet, high back, wooden legs.""]",False,False,0,True,raw/3dmodels/original/R/B082QC7YKR.glb
009972b67c6e734315da408a2650c4e33c9dbf5806ae0ce202fa98ac84596864,J/B07DBDN78J.glb,4.7276458740234375,"[""Armchair with a blocky, cuboid shape, dark gray or black leather upholstery, rectangular backrest and seat with slightly rounded edges, rectangular armrests, and short tapered legs at the corners."", ""Dark gray cuboid armchair with rounded edges, rectangular backrest, and tapered legs."", ""Dark gray blocky armchair with rectangular backrest and tapered legs."", ""Black leather rectangular armchair with rounded edges and tapered legs."", ""Dark gray armchair with rectangular features and tapered legs."", ""Blocky armchair with tapered legs and rounded edges."", ""Gray cuboid armchair with tapered legs."", ""Rectangular armchair with rounded edges."", ""Dark gray armchair with tapered legs."", ""Blocky leather armchair."", ""Gray armchair.""]",False,False,0,True,raw/3dmodels/original/J/B07DBDN78J.glb
